i	S	V
483	1.3050000000000001e-8	1
723	1.9050000000000002e-8	1
963	2.505e-8	1
1043	2.705e-8	1
1203	3.1050000000000003e-8	1
1443	3.7050000000000004e-8	1
1603	4.105e-8	1
1683	4.305e-8	1
1843	4.705e-8	1
2003	5.1050000000000004e-8	1
2083	5.305e-8	1
2203	5.605e-8	1
2443	6.205e-8	1
2643	6.705000000000001e-8	1
2883	7.305000000000001e-8	1
3003	7.605000000000001e-8	1
3123	7.905e-8	1
3243	8.205e-8	1
3363	8.505e-8	1
3443	8.705e-8	1
3563	9.005e-8	1
3763	9.505000000000001e-8	1
3963	1.0005e-7	1
4083	1.0305e-7	1
4203	1.0605e-7	1
4283	1.0805e-7	1
4443	1.1205e-7	1
4643	1.1705e-7	1
4803	1.2105000000000002e-7	1
4883	1.2305e-7	1
4963	1.2505e-7	1
5043	1.2705000000000002e-7	1
5563	1.4005000000000001e-7	1
5803	1.4605000000000001e-7	1
6043	1.5205000000000001e-7	1
6123	1.5405e-7	1
6283	1.5805000000000002e-7	1
6523	1.6405000000000002e-7	1
6683	1.6805e-7	1
6763	1.7005000000000002e-7	1
6923	1.7405e-7	1
7083	1.7805e-7	1
7163	1.8005e-7	1
7283	1.8305000000000001e-7	1
7523	1.8905000000000002e-7	1
7723	1.9405e-7	1
7963	2.0005e-7	1
8083	2.0305e-7	1
8203	2.0605e-7	1
8323	2.0905e-7	1
8443	2.1205e-7	1
8523	2.1405000000000001e-7	1
8643	2.1705e-7	1
8843	2.2205e-7	1
9043	2.2705e-7	1
9163	2.3005e-7	1
9283	2.3305e-7	1
9363	2.3505e-7	1
9523	2.3905e-7	1
9723	2.4405e-7	1
9883	2.4805e-7	1
9963	2.5005e-7	1
10043	2.5205e-7	1
10123	2.5405000000000003e-7	1
10643	2.6705e-7	1
10883	2.7305e-7	1
11123	2.7905e-7	1
11203	2.8105e-7	1
11363	2.8505000000000003e-7	1
11603	2.9105e-7	1
11763	2.9505e-7	1
11843	2.9705000000000003e-7	1
12003	3.0105e-7	1
12163	3.0505e-7	1
12243	3.0705e-7	1
12363	3.1005e-7	1
12603	3.1605000000000003e-7	1
12803	3.2105000000000003e-7	1
13043	3.2705e-7	1
13163	3.3005e-7	1
13283	3.3305000000000003e-7	1
13403	3.3605e-7	1
13523	3.3905e-7	1
13603	3.4105e-7	1
13723	3.4405e-7	1
13923	3.4905e-7	1
14123	3.5405e-7	1
14243	3.5705000000000004e-7	1
14363	3.6005e-7	1
14443	3.6205e-7	1
14603	3.6605e-7	1
14803	3.7105000000000003e-7	1
14963	3.7505e-7	1
15043	3.7705e-7	1
15123	3.7905e-7	1
15203	3.8105e-7	1
15723	3.9405e-7	1
15963	4.0005000000000004e-7	1
16483	4.1305e-7	1
16723	4.1905000000000004e-7	1
16963	4.2505e-7	1
17043	4.2705e-7	1
17203	4.3105000000000004e-7	1
17443	4.3705e-7	1
17603	4.4105e-7	1
17683	4.4305000000000004e-7	1
17843	4.4705e-7	1
18003	4.5105e-7	1
18083	4.5305e-7	1
18203	4.5605e-7	1
18443	4.6205000000000004e-7	1
18643	4.6705000000000004e-7	1
18883	4.7305e-7	1
19003	4.7605000000000003e-7	1
19123	4.7905e-7	1
19243	4.8205e-7	1
19363	4.8505e-7	1
19443	4.870500000000001e-7	1
19563	4.9005e-7	1
19763	4.9505e-7	1
19963	5.0005e-7	1
20083	5.0305e-7	1
20203	5.0605e-7	1
20283	5.0805e-7	1
20443	5.1205e-7	1
20643	5.1705e-7	1
20803	5.2105e-7	1
20883	5.2305e-7	1
20963	5.250500000000001e-7	1
21043	5.2705e-7	1
21563	5.4005e-7	1
21803	5.4605e-7	1
22043	5.5205e-7	1
22123	5.5405e-7	1
22283	5.5805e-7	1
22523	5.6405e-7	1
22683	5.6805e-7	1
22763	5.7005e-7	1
22923	5.7405e-7	1
23083	5.7805e-7	1
23163	5.800500000000001e-7	1
23283	5.8305e-7	1
23523	5.8905e-7	1
23723	5.940500000000001e-7	1
23963	6.0005e-7	1
24083	6.0305e-7	1
24203	6.0605e-7	1
24323	6.0905e-7	1
24443	6.1205e-7	1
24523	6.1405e-7	1
24643	6.1705e-7	1
24843	6.2205e-7	1
25043	6.2705e-7	1
25163	6.3005e-7	1
25283	6.3305e-7	1
25363	6.350500000000001e-7	1
25523	6.3905e-7	1
25723	6.4405e-7	1
25883	6.4805e-7	1
25963	6.5005e-7	1
26043	6.520500000000001e-7	1
26123	6.5405e-7	1
26643	6.6705e-7	1
26883	6.730500000000001e-7	1
27123	6.7905e-7	1
27203	6.8105e-7	1
27363	6.8505e-7	1
27603	6.9105e-7	1
27763	6.9505e-7	1
27843	6.970500000000001e-7	1
28003	7.0105e-7	1
28163	7.0505e-7	1
28243	7.070500000000001e-7	1
28363	7.1005e-7	1
28603	7.1605e-7	1
28803	7.210500000000001e-7	1
29043	7.2705e-7	1
29163	7.3005e-7	1
29283	7.3305e-7	1
29403	7.3605e-7	1
29523	7.3905e-7	1
29603	7.4105e-7	1
29723	7.4405e-7	1
29923	7.490500000000001e-7	1
30123	7.5405e-7	1
30243	7.5705e-7	1
30363	7.6005e-7	1
30443	7.620500000000001e-7	1
30603	7.660500000000001e-7	1
30803	7.7105e-7	1
30963	7.7505e-7	1
31043	7.7705e-7	1
31123	7.7905e-7	1
31203	7.8105e-7	1
31723	7.9405e-7	1
31963	8.000500000000001e-7	1
32483	8.1305e-7	1
32723	8.1905e-7	1
32963	8.2505e-7	1
33043	8.2705e-7	1
33203	8.310500000000001e-7	1
33443	8.3705e-7	1
33603	8.410500000000001e-7	1
33683	8.4305e-7	1
33843	8.4705e-7	1
34003	8.5105e-7	1
34083	8.5305e-7	1
34203	8.5605e-7	1
34443	8.620500000000001e-7	1
34643	8.6705e-7	1
34883	8.7305e-7	1
35003	8.760500000000001e-7	1
35123	8.790500000000001e-7	1
35243	8.8205e-7	1
35363	8.8505e-7	1
35443	8.8705e-7	1
35563	8.900500000000001e-7	1
35763	8.9505e-7	1
35963	9.000500000000001e-7	1
36083	9.030500000000001e-7	1
36203	9.0605e-7	1
36283	9.0805e-7	1
36443	9.1205e-7	1
36643	9.170500000000001e-7	1
36803	9.210500000000001e-7	1
36883	9.2305e-7	1
36963	9.2505e-7	1
37043	9.270500000000001e-7	1
37563	9.4005e-7	1
37803	9.4605e-7	1
38043	9.520500000000001e-7	1
38123	9.5405e-7	1
38283	9.5805e-7	1
38523	9.640500000000001e-7	1
38683	9.6805e-7	1
38763	9.700500000000001e-7	1
38923	9.7405e-7	1
39083	9.7805000000000011e-07	1
39163	9.8005e-7	1
39283	9.8305e-7	1
39523	9.8905e-7	1
39723	9.9405e-7	1
39963	1.00005e-6	1
40083	1.00305e-6	1
40203	1.00605e-6	1
40323	1.00905e-6	1
40443	1.0120500000000001e-6	1
40523	1.01405e-6	1
40643	1.01705e-6	1
40843	1.02205e-6	1
41043	1.02705e-6	1
41163	1.03005e-6	1
41283	1.03305e-6	1
41363	1.03505e-6	1
41523	1.03905e-6	1
41723	1.04405e-6	1
41883	1.04805e-6	1
41963	1.05005e-6	1
42043	1.05205e-6	1
42123	1.05405e-6	1
42643	1.06705e-6	1
42883	1.07305e-6	1
43123	1.07905e-6	1
43203	1.08105e-6	1
43363	1.08505e-6	1
43603	1.0910500000000001e-6	1
43763	1.09505e-6	1
43843	1.09705e-6	1
44003	1.10105e-6	1
44163	1.1050500000000001e-6	1
44243	1.10705e-6	1
44363	1.11005e-6	1
44603	1.11605e-6	1
44803	1.12105e-6	1
45043	1.12705e-6	1
45163	1.13005e-6	1
45283	1.13305e-6	1
45403	1.1360500000000001e-6	1
45523	1.1390500000000001e-6	1
45603	1.14105e-6	1
45723	1.14405e-6	1
45923	1.14905e-6	1
46123	1.15405e-6	1
46243	1.15705e-6	1
46363	1.16005e-6	1
46443	1.16205e-6	1
46603	1.16605e-6	1
46803	1.17105e-6	1
46963	1.17505e-6	1
47043	1.17705e-6	1
47123	1.17905e-6	1
47203	1.1810500000000001e-6	1
47723	1.19405e-6	1
47963	1.20005e-6	1
48483	1.21305e-6	1
48723	1.21905e-6	1
48963	1.22505e-6	1
49043	1.22705e-6	1
49203	1.23105e-6	1
49443	1.23705e-6	1
49603	1.24105e-6	1
49683	1.2430500000000001e-6	1
49843	1.24705e-6	1
50003	1.25105e-6	1
50083	1.25305e-6	1
50203	1.25605e-6	1
50443	1.26205e-6	1
50643	1.26705e-6	1
50883	1.27305e-6	1
51003	1.27605e-6	1
51123	1.27905e-6	1
51243	1.28205e-6	1
51363	1.28505e-6	1
51443	1.28705e-6	1
51563	1.29005e-6	1
51763	1.29505e-6	1
51963	1.30005e-6	1
52083	1.30305e-6	1
52203	1.30605e-6	1
52283	1.3080500000000001e-6	1
52443	1.31205e-6	1
52643	1.31705e-6	1
52803	1.32105e-6	1
52883	1.32305e-6	1
52963	1.3250500000000001e-6	1
53043	1.32705e-6	1
53563	1.34005e-6	1
53803	1.34605e-6	1
54043	1.35205e-6	1
54123	1.35405e-6	1
54283	1.35805e-6	1
54523	1.36405e-6	1
54683	1.36805e-6	1
54763	1.3700500000000001e-6	1
54923	1.37405e-6	1
55083	1.37805e-6	1
55163	1.38005e-6	1
55283	1.38305e-6	1
55523	1.38905e-6	1
55723	1.39405e-6	1
55963	1.40005e-6	1
56083	1.40305e-6	1
56203	1.40605e-6	1
56323	1.40905e-6	1
56443	1.41205e-6	1
56523	1.41405e-6	1
56643	1.41705e-6	1
56843	1.42205e-6	1
57043	1.42705e-6	1
57163	1.43005e-6	1
57283	1.43305e-6	1
57363	1.4350500000000001e-6	1
57523	1.43905e-6	1
57723	1.44405e-6	1
57883	1.44805e-6	1
57963	1.45005e-6	1
58043	1.4520500000000001e-6	1
58123	1.45405e-6	1
58643	1.46705e-6	1
58883	1.47305e-6	1
59123	1.47905e-6	1
59203	1.48105e-6	1
59363	1.48505e-6	1
59603	1.4910500000000001e-6	1
59763	1.49505e-6	1
59843	1.4970500000000001e-6	1
60003	1.50105e-6	1
60163	1.50505e-6	1
60243	1.50705e-6	1
60363	1.51005e-6	1
60603	1.51605e-6	1
60803	1.52105e-6	1
61043	1.52705e-6	1
61163	1.53005e-6	1
61283	1.53305e-6	1
61403	1.53605e-6	1
61523	1.5390500000000001e-6	1
61603	1.54105e-6	1
61723	1.54405e-6	1
61923	1.54905e-6	1
62123	1.55405e-6	1
62243	1.55705e-6	1
62363	1.56005e-6	1
62443	1.5620500000000001e-6	1
62603	1.56605e-6	1
62803	1.57105e-6	1
62963	1.57505e-6	1
63043	1.57705e-6	1
63123	1.5790500000000002e-6	1
63203	1.58105e-6	1
63723	1.59405e-6	1
63963	1.60005e-6	1
64483	1.61305e-6	1
64723	1.61905e-6	1
64963	1.62505e-6	1
65043	1.6270500000000002e-6	1
65203	1.63105e-6	1
65443	1.63705e-6	1
65603	1.6410500000000002e-6	1
65683	1.64305e-6	1
65843	1.64705e-6	1
66003	1.65105e-6	1
66083	1.65305e-6	1
66203	1.65605e-6	1
66443	1.66205e-6	1
66643	1.66705e-6	1
66883	1.67305e-6	1
67003	1.67605e-6	1
67123	1.67905e-6	1
67243	1.68205e-6	1
67363	1.68505e-6	1
67443	1.68705e-6	1
67563	1.69005e-6	1
67763	1.69505e-6	1
67963	1.7000500000000001e-6	1
68083	1.7030500000000002e-6	1
68203	1.7060500000000002e-6	1
68283	1.70805e-6	1
68443	1.71205e-6	1
68643	1.7170500000000001e-6	1
68803	1.72105e-6	1
68883	1.72305e-6	1
68963	1.7250500000000001e-6	1
69043	1.72705e-6	1
69563	1.74005e-6	1
69803	1.74605e-6	1
70043	1.75205e-6	1
70123	1.75405e-6	1
70283	1.75805e-6	1
70523	1.76405e-6	1
70683	1.7680500000000002e-6	1
70763	1.77005e-6	1
70923	1.77405e-6	1
71083	1.77805e-6	1
71163	1.78005e-6	1
71283	1.78305e-6	1
71523	1.78905e-6	1
71723	1.79405e-6	1
71963	1.80005e-6	1
72083	1.80305e-6	1
72203	1.80605e-6	1
72323	1.80905e-6	1
72443	1.81205e-6	1
72523	1.81405e-6	1
72643	1.81705e-6	1
72843	1.82205e-6	1
73043	1.8270500000000002e-6	1
73163	1.8300500000000002e-6	1
73283	1.83305e-6	1
73363	1.8350500000000001e-6	1
73523	1.83905e-6	1
73723	1.8440500000000002e-6	1
73883	1.84805e-6	1
73963	1.85005e-6	1
74043	1.8520500000000001e-6	1
74123	1.85405e-6	1
74643	1.86705e-6	1
74883	1.87305e-6	1
75123	1.87905e-6	1
75203	1.88105e-6	1
75363	1.88505e-6	1
75603	1.89105e-6	1
75763	1.89505e-6	1
75843	1.8970500000000001e-6	1
76003	1.90105e-6	1
76163	1.90505e-6	1
76243	1.90705e-6	1
76363	1.91005e-6	1
76603	1.91605e-6	1
76803	1.92105e-6	1
77043	1.92705e-6	1
77163	1.9300500000000003e-6	1
77283	1.93305e-6	1
77403	1.93605e-6	1
77523	1.93905e-6	1
77603	1.9410500000000002e-6	1
77723	1.94405e-6	1
77923	1.94905e-6	1
78123	1.95405e-6	1
78243	1.95705e-6	1
78363	1.96005e-6	1
78443	1.96205e-6	1
78603	1.96605e-6	1
78803	1.97105e-6	1
78963	1.9750500000000003e-6	1
79043	1.97705e-6	1
79123	1.97905e-6	1
79203	1.98105e-6	1
79723	1.99405e-6	1
79963	2.00005e-6	1
80483	2.01305e-6	1
80723	2.01905e-6	1
80963	2.02505e-6	1
81043	2.02705e-6	1
81203	2.0310500000000002e-6	1
81443	2.0370500000000003e-6	1
81603	2.04105e-6	1
81683	2.0430500000000003e-6	1
81843	2.04705e-6	1
82003	2.05105e-6	1
82083	2.05305e-6	1
82203	2.05605e-6	1
82443	2.06205e-6	1
82643	2.06705e-6	1
82883	2.07305e-6	1
83003	2.0760500000000002e-6	1
83123	2.07905e-6	1
83243	2.0820500000000003e-6	1
83363	2.08505e-6	1
83443	2.08705e-6	1
83563	2.09005e-6	1
83763	2.09505e-6	1
83963	2.10005e-6	1
84083	2.10305e-6	1
84203	2.10605e-6	1
84283	2.10805e-6	1
84443	2.11205e-6	1
84643	2.11705e-6	1
84803	2.1210500000000002e-6	1
84883	2.12305e-6	1
84963	2.12505e-6	1
85043	2.1270500000000002e-6	1
85563	2.14005e-6	1
85803	2.14605e-6	1
86043	2.15205e-6	1
86123	2.15405e-6	1
86283	2.15805e-6	1
86523	2.16405e-6	1
86683	2.16805e-6	1
86763	2.17005e-6	1
86923	2.17405e-6	1
87083	2.1780500000000003e-6	1
87163	2.18005e-6	1
87283	2.1830500000000002e-6	1
87523	2.1890500000000002e-6	1
87723	2.19405e-6	1
87963	2.2000500000000002e-6	1
88083	2.20305e-6	1
88203	2.2060500000000002e-6	1
88323	2.20905e-6	1
88443	2.2120500000000003e-6	1
88523	2.21405e-6	1
88643	2.2170500000000002e-6	1
88843	2.22205e-6	1
89043	2.22705e-6	1
89163	2.23005e-6	1
89283	2.23305e-6	1
89363	2.23505e-6	1
89523	2.23905e-6	1
89723	2.24405e-6	1
89883	2.24805e-6	1
89963	2.25005e-6	1
90043	2.25205e-6	1
90123	2.25405e-6	1
90643	2.26705e-6	1
90883	2.27305e-6	1
91123	2.2790500000000002e-6	1
91203	2.28105e-6	1
91363	2.2850500000000003e-6	1
91603	2.2910500000000003e-6	1
91763	2.29505e-6	1
91843	2.29705e-6	1
92003	2.30105e-6	1
92163	2.30505e-6	1
92243	2.3070500000000002e-6	1
92363	2.31005e-6	1
92603	2.31605e-6	1
92803	2.32105e-6	1
93043	2.32705e-6	1
93163	2.3300500000000002e-6	1
93283	2.33305e-6	1
93403	2.3360500000000003e-6	1
93523	2.33905e-6	1
93603	2.3410500000000002e-6	1
93723	2.34405e-6	1
