i	S	V
243	7.05e-9	-1
523	1.405e-8	-1
803	2.105e-8	-1
1003	2.6050000000000002e-08	-1
1083	2.805e-8	-1
1363	3.505e-8	-1
1483	3.805e-8	-1
1643	4.205e-8	-1
1763	4.505e-8	-1
1963	5.005e-8	-1
2043	5.205e-8	-1
2123	5.4050000000000004e-8	-1
2403	6.105000000000001e-8	-1
2483	6.305e-8	-1
2763	7.005000000000001e-8	-1
2923	7.405e-8	-1
3043	7.705e-8	-1
3203	8.105e-8	-1
3323	8.405e-8	-1
3403	8.605e-8	-1
3523	8.9050000000000007e-08	-1
3723	9.405e-8	-1
3843	9.705e-8	-1
4043	1.0205e-7	-1
4123	1.0405000000000001e-7	-1
4243	1.0705000000000001e-7	-1
4403	1.1105e-7	-1
4563	1.1505e-7	-1
4723	1.1905000000000001e-7	-1
4843	1.2205e-7	-1
4923	1.2405e-7	-1
5003	1.2605e-7	-1
5323	1.3405e-7	-1
5603	1.4105e-7	-1
5883	1.4805e-7	-1
6083	1.5305e-7	-1
6163	1.5505e-7	-1
6443	1.6205e-7	-1
6563	1.6505e-7	-1
6723	1.6905e-7	-1
6843	1.7205e-7	-1
7043	1.7705000000000001e-7	-1
7123	1.7905e-7	-1
7203	1.8105e-7	-1
7483	1.8805000000000002e-7	-1
7563	1.9005e-7	-1
7843	1.9705e-7	-1
8003	2.0105000000000002e-7	-1
8123	2.0405e-7	-1
8283	2.0805000000000001e-7	-1
8403	2.1105e-7	-1
8483	2.1305000000000002e-7	-1
8603	2.1605e-7	-1
8803	2.2105e-7	-1
8923	2.2405e-7	-1
9123	2.2905e-7	-1
9203	2.3105000000000002e-7	-1
9323	2.3405e-7	-1
9483	2.3805000000000002e-7	-1
9643	2.4205000000000003e-7	-1
9803	2.4605e-7	-1
9923	2.4905e-7	-1
10003	2.5105e-7	-1
10083	2.5305e-7	-1
10403	2.6105e-7	-1
10683	2.6805e-7	-1
10963	2.7505e-7	-1
11163	2.8005e-7	-1
11243	2.8205e-7	-1
11523	2.8905e-7	-1
11643	2.9205e-7	-1
11803	2.9605e-7	-1
11923	2.9905e-7	-1
12123	3.0405e-7	-1
12203	3.0605e-7	-1
12283	3.0805e-7	-1
12563	3.1505e-7	-1
12643	3.1705e-7	-1
12923	3.2405e-7	-1
13083	3.2805000000000003e-7	-1
13203	3.3105e-7	-1
13363	3.3505e-7	-1
13483	3.3805e-7	-1
13563	3.4005000000000003e-7	-1
13683	3.4305e-7	-1
13883	3.4805e-7	-1
14003	3.5105e-7	-1
14203	3.5605e-7	-1
14283	3.5805e-7	-1
14403	3.6105e-7	-1
14563	3.6505e-7	-1
14723	3.6905000000000004e-7	-1
14883	3.7305e-7	-1
15003	3.7605000000000004e-7	-1
15083	3.7805000000000003e-7	-1
15163	3.8005e-7	-1
15483	3.8805000000000004e-7	-1
15763	3.9505000000000003e-7	-1
16243	4.0705000000000004e-7	-1
16523	4.1405000000000003e-7	-1
16803	4.2105000000000003e-7	-1
17003	4.2605000000000003e-7	-1
17083	4.2805e-7	-1
17363	4.3505e-7	-1
17483	4.3805000000000003e-7	-1
17643	4.4205e-7	-1
17763	4.4505000000000003e-7	-1
17963	4.5005000000000004e-7	-1
18043	4.5205000000000003e-7	-1
18123	4.5405e-7	-1
18403	4.6105e-7	-1
18483	4.6305e-7	-1
18763	4.7005e-7	-1
18923	4.7405000000000004e-7	-1
19043	4.770500000000001e-7	-1
19203	4.8105e-7	-1
19323	4.8405e-7	-1
19403	4.8605e-7	-1
19523	4.8905e-7	-1
19723	4.940500000000001e-7	-1
19843	4.9705e-7	-1
20043	5.0205e-7	-1
20123	5.040500000000001e-7	-1
20243	5.0705e-7	-1
20403	5.110500000000001e-7	-1
