i	S	V
483	1.3059440541921941e-8	0
723	1.9059216549383553e-8	0
963	2.5059634651438885e-8	0
1043	2.7059393941516376e-8	0
1203	3.105921594659516e-8	0
1443	3.7058727307709444e-8	0
1603	4.105886375472649e-8	0
1683	4.305864272013798e-8	0
1843	4.705916548521354e-8	0
2003	5.105971516816763e-8	0
2083	5.3059363570844824e-8	0
2203	5.6058945318365345e-8	0
2443	6.205975188654719e-8	0
2643	6.705910724910921e-8	0
2883	7.305868357946077e-8	0
3003	7.605965704485142e-8	0
3123	7.905954590263683e-8	0
3243	8.205911765890645e-8	0
3363	8.505985832516847e-8	0
3443	8.705963138764735e-8	0
3563	9.00596691042694e-8	0
3763	9.505867601667969e-8	0
3963	1.0005970643470925e-7	0
4083	1.0305949361286608e-7	0
4203	1.0605876487452784e-7	0
4283	1.0805954607324977e-7	0
4443	1.1205914754052034e-7	0
4643	1.170591315781031e-7	0
4803	1.2105899215902032e-7	0
4883	1.2305882360191134e-7	0
4963	1.2505932310496132e-7	0
5043	1.2705897977894262e-7	0
5563	1.4005977861793474e-7	0
5803	1.460587746881898e-7	0
6043	1.5205885356564373e-7	0
6123	1.5405877172356623e-7	0
6283	1.5805941387637347e-7	0
6523	1.6405859790999555e-7	0
6683	1.6805919811688934e-7	0
6763	1.7005985205758571e-7	0
6923	1.740598083929239e-7	0
7083	1.7805918575590772e-7	0
7163	1.8005969106992887e-7	0
7283	1.8305952789434173e-7	0
7523	1.8905924665173268e-7	0
7723	1.9405901623790184e-7	0
7963	2.0005945458422145e-7	0
8083	2.030592066011378e-7	0
8203	2.0605995744680782e-7	0
8323	2.0905928025353433e-7	0
8443	2.1205955530911169e-7	0
8523	2.1405904393494742e-7	0
8643	2.1705951920917867e-7	0
8843	2.220588206243254e-7	0
9043	2.270585007668197e-7	0
9163	2.3005959970644553e-7	0
9283	2.33058861596105e-7	0
9363	2.3505946609163391e-7	0
9523	2.3905852459462784e-7	0
9723	2.440587085539976e-7	0
9883	2.4805950886678287e-7	0
9963	2.5005943222501807e-7	0
10043	2.5205999523308634e-7	0
10123	2.5405888355689866e-7	0
10643	2.670594145384785e-7	0
10883	2.7305944320602094e-7	0
11123	2.790599950908452e-7	0
11203	2.810599954950595e-7	0
11363	2.850592479960717e-7	0
11603	2.9105895343149084e-7	0
11763	2.9505867732367216e-7	0
11843	2.970593553088805e-7	0
12003	3.0105972092958913e-7	0
12163	3.0505940876228257e-7	0
12243	3.070589479953094e-7	0
12363	3.100594027490056e-7	0
12603	3.1605959368551344e-7	0
12803	3.210594593672674e-7	0
13043	3.270593885059772e-7	0
13163	3.3005937835275767e-7	0
13283	3.330590518839496e-7	0
13403	3.3605983555395027e-7	0
13523	3.3905834887095015e-7	0
13603	3.410589044820133e-7	0
13723	3.440593929147769e-7	0
13923	3.490593760812351e-7	0
14123	3.540595289515111e-7	0
14243	3.570592210344076e-7	0
14363	3.6005957701295485e-7	0
14443	3.620597251845575e-7	0
14603	3.660596493688259e-7	0
14803	3.7105919482232556e-7	0
14963	3.7506005003219614e-7	0
15043	3.7705942917569434e-7	0
15123	3.790590955998336e-7	0
15203	3.8105962945105937e-7	0
15723	3.9405921526061444e-7	0
15963	4.000592468106065e-7	0
16483	4.13059721572709e-7	0
16723	4.190601444462205e-7	0
16963	4.250592033859962e-7	0
17043	4.270593149004418e-7	0
17203	4.310592963937039e-7	0
17443	4.370601449608545e-7	0
17603	4.410592811964276e-7	0
17683	4.4305917042683203e-7	0
17843	4.4705974511102824e-7	0
18003	4.510600005634722e-7	0
18083	4.5305957145985783e-7	0
18203	4.5605953744013106e-7	0
18443	4.6205902336661275e-7	0
18643	4.6705940502981573e-7	0
18883	4.7305976081989857e-7	0
19003	4.760592781347785e-7	0
19123	4.790591246670877e-7	0
19243	4.820592898018734e-7	0
19363	4.850592245747154e-7	0
19443	4.870588561461827e-7	0
19563	4.900588483805096e-7	0
19763	4.950593262577696e-7	0
19963	5.000593337320301e-7	0
20083	5.030592620610229e-7	0
20203	5.060592218964066e-7	0
20283	5.080594126053256e-7	0
20443	5.120589214531193e-7	0
20643	5.170595295485409e-7	0
20803	5.210598163648747e-7	0
20883	5.230596525469267e-7	0
20963	5.250593687116549e-7	0
21043	5.270595998043765e-7	0
21563	5.400590925160768e-7	0
21803	5.460589011506353e-7	0
22043	5.520585846880055e-7	0
22123	5.540590226922726e-7	0
22283	5.58058897889063e-7	0
22523	5.640594631850694e-7	0
22683	5.680591835062247e-7	0
22763	5.700595019806842e-7	0
22923	5.740592553233207e-7	0
23083	5.780597377176996e-7	0
23163	5.800591147035932e-7	0
23283	5.830592422182714e-7	0
23523	5.890594843840018e-7	0
23723	5.940594826488994e-7	0
23963	6.000588331656639e-7	0
24083	6.030593160279429e-7	0
24203	6.060591894311231e-7	0
24323	6.090599038426676e-7	0
24443	6.120583074228276e-7	0
24523	6.1405911710824e-7	0
24643	6.170585196732172e-7	0
24843	6.220597244607141e-7	0
25043	6.270590411406144e-7	0
25163	6.300600318783212e-7	0
25283	6.330590933387164e-7	0
25363	6.350593721546933e-7	0
25523	6.390587130158956e-7	0
25723	6.440594746095135e-7	0
25883	6.480596024379592e-7	0
25963	6.500596110701306e-7	0
26043	6.520593350568353e-7	0
26123	6.540587587705746e-7	0
26643	6.670594362165237e-7	0
26883	6.730592096513424e-7	0
27123	6.790593565654206e-7	0
27203	6.810600232299158e-7	0
27363	6.850586786438257e-7	0
27603	6.910580303332536e-7	0
27763	6.950594400544561e-7	0
27843	6.970596179844966e-7	0
28003	7.010583778289964e-7	0
28163	7.050592775381989e-7	0
28243	7.070591784870313e-7	0
28363	7.100596791497932e-7	0
28603	7.160593397990255e-7	0
28803	7.21059519308541e-7	0
29043	7.270593057828129e-7	0
29163	7.300588040274563e-7	0
29283	7.330595940645242e-7	0
29403	7.360587774790896e-7	0
29523	7.390597581298454e-7	0
29603	7.41059941651948e-7	0
29723	7.440592617961357e-7	0
29923	7.490593651172853e-7	0
30123	7.540592428497686e-7	0
30243	7.57060461690113e-7	0
30363	7.600596625852485e-7	0
30443	7.620590055888855e-7	0
30603	7.66059618001842e-7	0
30803	7.710594130114605e-7	0
30963	7.750588479414197e-7	0
31043	7.770602642887935e-7	0
31123	7.790592654389879e-7	0
31203	7.810590947498191e-7	0
31723	7.940594552470962e-7	0
31963	8.000593701334884e-7	0
32483	8.130601068670445e-7	0
32723	8.190587008604954e-7	0
32963	8.250587780750987e-7	0
33043	8.270589724859155e-7	0
33203	8.310597163225565e-7	0
33443	8.370586613487479e-7	0
33603	8.410591939318211e-7	0
33683	8.43059341256841e-7	0
33843	8.470590984927537e-7	0
34003	8.510594039574027e-7	0
34083	8.530589319760483e-7	0
34203	8.560585127520364e-7	0
34443	8.620590082901784e-7	0
34643	8.670595015195715e-7	0
34883	8.730594064698788e-7	0
35003	8.76058862221122e-7	0
35123	8.790597072198583e-7	0
35243	8.820591299480843e-7	0
35363	8.850588491166181e-7	0
35443	8.870594858377054e-7	0
35563	8.900587544795936e-7	0
35763	8.95058769349688e-7	0
35963	9.000590664560401e-7	0
36083	9.030598574438817e-7	0
36203	9.060599308224405e-7	0
36283	9.080597908927702e-7	0
36443	9.120589745198909e-7	0
36643	9.17058995897783e-7	0
36803	9.210587169385534e-7	0
36883	9.230592567441541e-7	0
36963	9.250593639845552e-7	0
37043	9.270590312719285e-7	0
37563	9.400589253764728e-7	0
37803	9.460592003947267e-7	0
38043	9.520590881043669e-7	0
38123	9.540592554458405e-7	0
38283	9.580596932505657e-7	0
38523	9.640592539700138e-7	0
38683	9.680582792763933e-7	0
38763	9.70059846395161e-7	0
38923	9.740593743363317e-7	0
39083	9.78059664658492e-7	0
39163	9.800594574766097e-7	0
39283	9.830591348737142e-7	0
39523	9.890594256621581e-7	0
39723	9.940593289358208e-7	0
39963	1.0000589638175256e-6	0
40083	1.003058947663398e-6	0
40203	1.0060592095262988e-6	0
40323	1.0090587077177239e-6	0
40443	1.0120599974144664e-6	0
40523	1.0140587794879188e-6	0
40643	1.0170593986258045e-6	0
40843	1.0220590048533335e-6	0
41043	1.0270591157061675e-6	0
41163	1.0300596173775535e-6	0
41283	1.0330595833800683e-6	0
41363	1.0350598780981745e-6	0
41523	1.039059123512479e-6	0
41723	1.0440595370338093e-6	0
41883	1.0480592467871642e-6	0
41963	1.0500591993098737e-6	0
42043	1.0520588489913583e-6	0
42123	1.0540589993225368e-6	0
