S	V	tags
5e-10	-1	NA
5.25e-10	-1	NA
5.500000000000001e-10	-1	NA
5.75e-10	-1	NA
6e-10	-1	NA
6.25e-10	-1	NA
6.5e-10	-1	NA
6.75e-10	-1	NA
7.000000000000001e-10	-1	NA
7.25e-10	-1	NA
7.5e-10	-1	NA
7.75e-10	-1	NA
8e-10	-1	NA
8.25e-10	-1	NA
8.500000000000001e-10	-1	NA
8.750000000000001e-10	-1	NA
9e-10	-1	NA
9.25e-10	-1	NA
9.5e-10	-1	NA
9.75e-10	-1	NA
1e-9	-1	NA
1.025e-9	-1	NA
1.05e-9	-1	NA
1.0750000000000001e-9	-1	NA
1.1000000000000001e-9	-1	NA
1.125e-9	-1	NA
1.15e-9	-1	NA
1.175e-9	-1	NA
1.2e-9	-1	NA
1.225e-9	-1	NA
1.25e-9	-1	NA
1.275e-9	-1	NA
1.3e-9	-1	NA
1.325e-9	-1	NA
1.35e-9	-1	NA
1.3750000000000001e-9	-1	NA
1.4000000000000001e-9	-1	NA
1.4250000000000001e-9	-1	NA
1.45e-9	-1	NA
1.475e-9	-1	NA
1.5e-9	-1	NA
1.525e-9	-1	NA
1.55e-9	-1	NA
1.575e-9	-1	NA
1.6e-9	-1	NA
1.625e-9	-1	NA
1.65e-9	-1	NA
1.6750000000000001e-9	-1	NA
1.7000000000000001e-9	-1	NA
1.7250000000000001e-9	-1	NA
1.7500000000000002e-9	-1	NA
1.775e-9	-1	NA
1.8e-9	-1	NA
1.825e-9	-1	NA
1.85e-9	-1	NA
1.8750000000000002e-9	-1	NA
1.9e-9	-1	NA
1.925e-9	-1	NA
1.95e-9	-1	NA
1.975e-9	-1	NA
2e-9	-1	NA
2.025e-9	-1	NA
2.05e-9	-1	NA
2.075e-9	-1	NA
2.1e-9	-1	NA
2.125e-9	-1	NA
2.1500000000000002e-9	-1	NA
2.175e-9	-1	NA
2.2000000000000003e-9	-1	NA
2.225e-9	-1	NA
2.25e-9	-1	NA
2.275e-9	-1	NA
2.3e-9	-1	NA
2.325e-9	-1	NA
2.35e-9	-1	NA
2.375e-9	-1	NA
2.4e-9	-1	NA
2.4250000000000002e-9	-1	NA
2.45e-9	-1	NA
2.4750000000000002e-9	-1	NA
2.5e-9	-1	NA
2.5250000000000003e-9	-1	NA
2.55e-9	-1	NA
2.575e-9	-1	NA
2.6e-9	-1	NA
2.625e-9	-1	NA
2.65e-9	-1	NA
2.675e-9	-1	NA
2.7e-9	-1	NA
2.725e-9	-1	NA
2.7500000000000002e-9	-1	NA
2.775e-9	-1	NA
2.8000000000000003e-9	-1	NA
2.825e-9	-1	NA
2.8500000000000003e-9	-1	NA
2.875e-9	-1	NA
2.9e-9	-1	NA
2.925e-9	-1	NA
2.95e-9	-1	NA
2.975e-9	-1	NA
3e-9	-1	NA
3.025e-9	-1	NA
3.05e-9	-1	NA
3.0750000000000002e-9	-1	NA
3.1e-9	-1	NA
3.1250000000000003e-9	-1	NA
3.15e-9	-1	NA
3.1750000000000003e-9	-1	NA
3.2e-9	-1	NA
3.225e-9	-1	NA
3.25e-9	-1	NA
3.275e-9	-1	NA
3.3e-9	-1	NA
3.325e-9	-1	NA
3.3500000000000002e-9	-1	NA
3.375e-9	-1	NA
3.4000000000000003e-9	-1	NA
3.425e-9	-1	NA
3.4500000000000003e-9	-1	NA
3.475e-9	-1	NA
3.5000000000000003e-9	-1	NA
3.525e-9	-1	NA
3.55e-9	-1	NA
3.575e-9	-1	NA
3.6e-9	-1	NA
3.625e-9	-1	NA
3.65e-9	-1	NA
3.6750000000000002e-9	-1	NA
3.7e-9	-1	NA
3.7250000000000003e-9	-1	NA
3.7500000000000005e-9	-1	NA
3.775e-9	-1	NA
3.8e-9	-1	NA
3.825e-9	-1	NA
3.85e-9	-1	NA
3.875e-9	-1	NA
3.9e-9	-1	NA
3.925e-9	-1	NA
3.95e-9	-1	NA
3.975e-9	-1	NA
4e-9	-1	NA
4.0250000000000005e-9	-1	NA
4.05e-9	-1	NA
4.075e-9	-1	NA
4.1e-9	-1	NA
4.1250000000000005e-9	-1	NA
4.15e-9	-1	NA
4.175e-9	-1	NA
4.2e-9	-1	NA
4.225e-9	-1	NA
4.25e-9	-1	NA
4.275e-9	-1	NA
4.3000000000000005e-9	-1	NA
4.325e-9	-1	NA
4.35e-9	-1	NA
4.375e-9	-1	NA
4.4000000000000005e-9	-1	NA
4.425e-9	-1	NA
4.45e-9	-1	NA
4.475e-9	-1	NA
4.5e-9	-1	NA
4.525e-9	-1	NA
4.55e-9	-1	NA
4.5750000000000004e-9	-1	NA
4.6e-9	-1	NA
4.625e-9	-1	NA
4.65e-9	-1	NA
4.6750000000000005e-9	-1	NA
4.7e-9	-1	NA
4.725e-9	-1	NA
4.75e-9	-1	NA
4.7750000000000006e-9	-1	NA
4.8e-9	-1	NA
4.825e-9	-1	NA
4.8500000000000004e-9	-1	NA
4.875e-9	-1	NA
4.9e-9	-1	NA
4.925e-9	-1	NA
4.9500000000000005e-9	-1	NA
4.975e-9	-1	NA
5e-9	-1	NA
5.025e-9	-1	NA
5.0500000000000006e-9	-1	NA
5.075e-9	-1	NA
5.1e-9	-1	NA
5.125e-9	-1	NA
5.15e-9	-1	NA
5.175e-9	-1	NA
5.2e-9	-1	NA
5.2250000000000005e-9	-1	NA
5.25e-9	-1	NA
5.275e-9	-1	NA
5.3e-9	-1	NA
5.3250000000000005e-9	-1	NA
5.35e-9	-1	NA
5.375e-9	-1	NA
