i	S	V
503	1.3050000000000001e-8	1
743	1.9050000000000002e-8	1
983	2.505e-8	1
1063	2.705e-8	1
1223	3.1050000000000003e-8	1
1463	3.7050000000000004e-8	1
1623	4.105e-8	1
1703	4.305e-8	1
1863	4.705e-8	1
2023	5.1050000000000004e-8	1
2103	5.305e-8	1
2223	5.605e-8	1
2463	6.205e-8	1
2663	6.705000000000001e-8	1
2903	7.305000000000001e-8	1
3023	7.605000000000001e-8	1
3143	7.905e-8	1
3263	8.205e-8	1
3383	8.505e-8	1
3463	8.705e-8	1
3583	9.005e-8	1
3783	9.505000000000001e-8	1
3983	1.0005e-7	1
4103	1.0305e-7	1
4223	1.0605e-7	1
4303	1.0805e-7	1
4463	1.1205e-7	1
4663	1.1705e-7	1
4823	1.2105000000000002e-7	1
4903	1.2305e-7	1
4983	1.2505e-7	1
5063	1.2705000000000002e-7	1
5583	1.4005000000000001e-7	1
5823	1.4605000000000001e-7	1
6063	1.5205000000000001e-7	1
6143	1.5405e-7	1
6303	1.5805000000000002e-7	1
6543	1.6405000000000002e-7	1
6703	1.6805e-7	1
6783	1.7005000000000002e-7	1
6943	1.7405e-7	1
7103	1.7805e-7	1
7183	1.8005e-7	1
7303	1.8305000000000001e-7	1
7543	1.8905000000000002e-7	1
7743	1.9405e-7	1
7983	2.0005e-7	1
8103	2.0305e-7	1
8223	2.0605e-7	1
8343	2.0905e-7	1
8463	2.1205e-7	1
8543	2.1405000000000001e-7	1
8663	2.1705e-7	1
8863	2.2205e-7	1
9063	2.2705e-7	1
9183	2.3005e-7	1
9303	2.3305e-7	1
9383	2.3505e-7	1
9543	2.3905e-7	1
9743	2.4405e-7	1
9903	2.4805e-7	1
9983	2.5005e-7	1
10063	2.5205e-7	1
10143	2.5405000000000003e-7	1
10663	2.6705e-7	1
10903	2.7305e-7	1
11143	2.7905e-7	1
11223	2.8105e-7	1
11383	2.8505000000000003e-7	1
11623	2.9105e-7	1
11783	2.9505e-7	1
11863	2.9705000000000003e-7	1
12023	3.0105e-7	1
12183	3.0505e-7	1
12263	3.0705e-7	1
12383	3.1005e-7	1
12623	3.1605000000000003e-7	1
12823	3.2105000000000003e-7	1
13063	3.2705e-7	1
13183	3.3005e-7	1
13303	3.3305000000000003e-7	1
13423	3.3605e-7	1
13543	3.3905e-7	1
13623	3.4105e-7	1
13743	3.4405e-7	1
13943	3.4905e-7	1
14143	3.5405e-7	1
14263	3.5705000000000004e-7	1
14383	3.6005e-7	1
14463	3.6205e-7	1
14623	3.6605e-7	1
14823	3.7105000000000003e-7	1
14983	3.7505e-7	1
15063	3.7705e-7	1
15143	3.7905e-7	1
15223	3.8105e-7	1
15743	3.9405e-7	1
15983	4.0005000000000004e-7	1
16503	4.1305e-7	1
16743	4.1905000000000004e-7	1
16983	4.2505e-7	1
17063	4.2705e-7	1
17223	4.3105000000000004e-7	1
17463	4.3705e-7	1
17623	4.4105e-7	1
17703	4.4305000000000004e-7	1
17863	4.4705e-7	1
18023	4.5105e-7	1
18103	4.5305e-7	1
18223	4.5605e-7	1
18463	4.6205000000000004e-7	1
18663	4.6705000000000004e-7	1
18903	4.7305e-7	1
19023	4.7605000000000003e-7	1
19143	4.7905e-7	1
19263	4.8205e-7	1
19383	4.8505e-7	1
19463	4.870500000000001e-7	1
19583	4.9005e-7	1
19783	4.9505e-7	1
19983	5.0005e-7	1
20103	5.0305e-7	1
20223	5.0605e-7	1
20303	5.0805e-7	1
20463	5.1205e-7	1
20663	5.1705e-7	1
20823	5.2105e-7	1
20903	5.2305e-7	1
20983	5.250500000000001e-7	1
21063	5.2705e-7	1
21583	5.4005e-7	1
21823	5.4605e-7	1
22063	5.5205e-7	1
22143	5.5405e-7	1
22303	5.5805e-7	1
22543	5.6405e-7	1
22703	5.6805e-7	1
22783	5.7005e-7	1
22943	5.7405e-7	1
23103	5.7805e-7	1
23183	5.800500000000001e-7	1
23303	5.8305e-7	1
23543	5.8905e-7	1
23743	5.940500000000001e-7	1
23983	6.0005e-7	1
24103	6.0305e-7	1
24223	6.0605e-7	1
24343	6.0905e-7	1
24463	6.1205e-7	1
24543	6.1405e-7	1
24663	6.1705e-7	1
24863	6.2205e-7	1
25063	6.2705e-7	1
25183	6.3005e-7	1
25303	6.3305e-7	1
25383	6.350500000000001e-7	1
25543	6.3905e-7	1
25743	6.4405e-7	1
25903	6.4805e-7	1
25983	6.5005e-7	1
26063	6.520500000000001e-7	1
26143	6.5405e-7	1
26663	6.6705e-7	1
26903	6.730500000000001e-7	1
27143	6.7905e-7	1
27223	6.8105e-7	1
27383	6.8505e-7	1
27623	6.9105e-7	1
27783	6.9505e-7	1
27863	6.970500000000001e-7	1
28023	7.0105e-7	1
28183	7.0505e-7	1
28263	7.070500000000001e-7	1
28383	7.1005e-7	1
28623	7.1605e-7	1
28823	7.210500000000001e-7	1
29063	7.2705e-7	1
29183	7.3005e-7	1
29303	7.3305e-7	1
29423	7.3605e-7	1
29543	7.3905e-7	1
29623	7.4105e-7	1
29743	7.4405e-7	1
29943	7.490500000000001e-7	1
30143	7.5405e-7	1
30263	7.5705e-7	1
30383	7.6005e-7	1
30463	7.620500000000001e-7	1
30623	7.660500000000001e-7	1
30823	7.7105e-7	1
30983	7.7505e-7	1
31063	7.7705e-7	1
31143	7.7905e-7	1
31223	7.8105e-7	1
31743	7.9405e-7	1
31983	8.000500000000001e-7	1
32503	8.1305e-7	1
32743	8.1905e-7	1
32983	8.2505e-7	1
33063	8.2705e-7	1
33223	8.310500000000001e-7	1
33463	8.3705e-7	1
33623	8.410500000000001e-7	1
33703	8.4305e-7	1
33863	8.4705e-7	1
34023	8.5105e-7	1
34103	8.5305e-7	1
34223	8.5605e-7	1
34463	8.620500000000001e-7	1
34663	8.6705e-7	1
34903	8.7305e-7	1
35023	8.760500000000001e-7	1
35143	8.790500000000001e-7	1
35263	8.8205e-7	1
35383	8.8505e-7	1
35463	8.8705e-7	1
35583	8.900500000000001e-7	1
35783	8.9505e-7	1
35983	9.000500000000001e-7	1
36103	9.030500000000001e-7	1
36223	9.0605e-7	1
36303	9.0805e-7	1
36463	9.1205e-7	1
36663	9.170500000000001e-7	1
36823	9.210500000000001e-7	1
36903	9.2305e-7	1
36983	9.2505e-7	1
37063	9.270500000000001e-7	1
37583	9.4005e-7	1
37823	9.4605e-7	1
38063	9.520500000000001e-7	1
38143	9.5405e-7	1
38303	9.5805e-7	1
38543	9.640500000000001e-7	1
38703	9.6805e-7	1
38783	9.700500000000001e-7	1
38943	9.7405e-7	1
39103	9.7805000000000011e-07	1
39183	9.8005e-7	1
39303	9.8305e-7	1
39543	9.8905e-7	1
39743	9.9405e-7	1
39983	1.00005e-6	1
40103	1.00305e-6	1
40223	1.00605e-6	1
40343	1.00905e-6	1
40463	1.0120500000000001e-6	1
40543	1.01405e-6	1
40663	1.01705e-6	1
40863	1.02205e-6	1
41063	1.02705e-6	1
41183	1.03005e-6	1
41303	1.03305e-6	1
41383	1.03505e-6	1
41543	1.03905e-6	1
41743	1.04405e-6	1
41903	1.04805e-6	1
41983	1.05005e-6	1
42063	1.05205e-6	1
42143	1.05405e-6	1
42663	1.06705e-6	1
42903	1.07305e-6	1
43143	1.07905e-6	1
43223	1.08105e-6	1
43383	1.08505e-6	1
43623	1.0910500000000001e-6	1
43783	1.09505e-6	1
43863	1.09705e-6	1
44023	1.10105e-6	1
44183	1.1050500000000001e-6	1
44263	1.10705e-6	1
44383	1.11005e-6	1
44623	1.11605e-6	1
44823	1.12105e-6	1
45063	1.12705e-6	1
45183	1.13005e-6	1
45303	1.13305e-6	1
45423	1.1360500000000001e-6	1
45543	1.1390500000000001e-6	1
45623	1.14105e-6	1
45743	1.14405e-6	1
45943	1.14905e-6	1
46143	1.15405e-6	1
46263	1.15705e-6	1
46383	1.16005e-6	1
46463	1.16205e-6	1
46623	1.16605e-6	1
46823	1.17105e-6	1
46983	1.17505e-6	1
47063	1.17705e-6	1
47143	1.17905e-6	1
47223	1.1810500000000001e-6	1
47743	1.19405e-6	1
47983	1.20005e-6	1
48503	1.21305e-6	1
48743	1.21905e-6	1
48983	1.22505e-6	1
49063	1.22705e-6	1
49223	1.23105e-6	1
49463	1.23705e-6	1
49623	1.24105e-6	1
49703	1.2430500000000001e-6	1
49863	1.24705e-6	1
50023	1.25105e-6	1
50103	1.25305e-6	1
50223	1.25605e-6	1
50463	1.26205e-6	1
50663	1.26705e-6	1
50903	1.27305e-6	1
51023	1.27605e-6	1
51143	1.27905e-6	1
51263	1.28205e-6	1
51383	1.28505e-6	1
51463	1.28705e-6	1
51583	1.29005e-6	1
51783	1.29505e-6	1
51983	1.30005e-6	1
52103	1.30305e-6	1
52223	1.30605e-6	1
52303	1.3080500000000001e-6	1
52463	1.31205e-6	1
52663	1.31705e-6	1
52823	1.32105e-6	1
52903	1.32305e-6	1
52983	1.3250500000000001e-6	1
53063	1.32705e-6	1
53583	1.34005e-6	1
53823	1.34605e-6	1
54063	1.35205e-6	1
54143	1.35405e-6	1
54303	1.35805e-6	1
54543	1.36405e-6	1
54703	1.36805e-6	1
54783	1.3700500000000001e-6	1
54943	1.37405e-6	1
55103	1.37805e-6	1
55183	1.38005e-6	1
55303	1.38305e-6	1
55543	1.38905e-6	1
55743	1.39405e-6	1
55983	1.40005e-6	1
56103	1.40305e-6	1
56223	1.40605e-6	1
56343	1.40905e-6	1
56463	1.41205e-6	1
56543	1.41405e-6	1
56663	1.41705e-6	1
56863	1.42205e-6	1
57063	1.42705e-6	1
57183	1.43005e-6	1
57303	1.43305e-6	1
57383	1.4350500000000001e-6	1
57543	1.43905e-6	1
57743	1.44405e-6	1
57903	1.44805e-6	1
57983	1.45005e-6	1
58063	1.4520500000000001e-6	1
58143	1.45405e-6	1
58663	1.46705e-6	1
58903	1.47305e-6	1
59143	1.47905e-6	1
59223	1.48105e-6	1
59383	1.48505e-6	1
59623	1.4910500000000001e-6	1
59783	1.49505e-6	1
59863	1.4970500000000001e-6	1
60023	1.50105e-6	1
60183	1.50505e-6	1
60263	1.50705e-6	1
60383	1.51005e-6	1
60623	1.51605e-6	1
60823	1.52105e-6	1
61063	1.52705e-6	1
61183	1.53005e-6	1
61303	1.53305e-6	1
61423	1.53605e-6	1
61543	1.5390500000000001e-6	1
61623	1.54105e-6	1
61743	1.54405e-6	1
61943	1.54905e-6	1
62143	1.55405e-6	1
62263	1.55705e-6	1
62383	1.56005e-6	1
62463	1.5620500000000001e-6	1
62623	1.56605e-6	1
62823	1.57105e-6	1
62983	1.57505e-6	1
63063	1.57705e-6	1
63143	1.5790500000000002e-6	1
63223	1.58105e-6	1
63743	1.59405e-6	1
63983	1.60005e-6	1
64503	1.61305e-6	1
64743	1.61905e-6	1
64983	1.62505e-6	1
65063	1.6270500000000002e-6	1
65223	1.63105e-6	1
65463	1.63705e-6	1
65623	1.6410500000000002e-6	1
65703	1.64305e-6	1
65863	1.64705e-6	1
66023	1.65105e-6	1
66103	1.65305e-6	1
66223	1.65605e-6	1
66463	1.66205e-6	1
66663	1.66705e-6	1
66903	1.67305e-6	1
67023	1.67605e-6	1
67143	1.67905e-6	1
67263	1.68205e-6	1
67383	1.68505e-6	1
67463	1.68705e-6	1
67583	1.69005e-6	1
67783	1.69505e-6	1
67983	1.7000500000000001e-6	1
68103	1.7030500000000002e-6	1
68223	1.7060500000000002e-6	1
68303	1.70805e-6	1
68463	1.71205e-6	1
68663	1.7170500000000001e-6	1
68823	1.72105e-6	1
68903	1.72305e-6	1
68983	1.7250500000000001e-6	1
69063	1.72705e-6	1
69583	1.74005e-6	1
69823	1.74605e-6	1
70063	1.75205e-6	1
70143	1.75405e-6	1
70303	1.75805e-6	1
70543	1.76405e-6	1
70703	1.7680500000000002e-6	1
70783	1.77005e-6	1
70943	1.77405e-6	1
71103	1.77805e-6	1
71183	1.78005e-6	1
71303	1.78305e-6	1
71543	1.78905e-6	1
71743	1.79405e-6	1
71983	1.80005e-6	1
72103	1.80305e-6	1
72223	1.80605e-6	1
72343	1.80905e-6	1
72463	1.81205e-6	1
72543	1.81405e-6	1
72663	1.81705e-6	1
72863	1.82205e-6	1
73063	1.8270500000000002e-6	1
73183	1.8300500000000002e-6	1
73303	1.83305e-6	1
73383	1.8350500000000001e-6	1
73543	1.83905e-6	1
73743	1.8440500000000002e-6	1
73903	1.84805e-6	1
73983	1.85005e-6	1
74063	1.8520500000000001e-6	1
74143	1.85405e-6	1
74663	1.86705e-6	1
74903	1.87305e-6	1
75143	1.87905e-6	1
75223	1.88105e-6	1
75383	1.88505e-6	1
75623	1.89105e-6	1
75783	1.89505e-6	1
75863	1.8970500000000001e-6	1
76023	1.90105e-6	1
76183	1.90505e-6	1
76263	1.90705e-6	1
76383	1.91005e-6	1
76623	1.91605e-6	1
76823	1.92105e-6	1
77063	1.92705e-6	1
77183	1.9300500000000003e-6	1
77303	1.93305e-6	1
77423	1.93605e-6	1
77543	1.93905e-6	1
77623	1.9410500000000002e-6	1
77743	1.94405e-6	1
77943	1.94905e-6	1
78143	1.95405e-6	1
78263	1.95705e-6	1
78383	1.96005e-6	1
78463	1.96205e-6	1
78623	1.96605e-6	1
78823	1.97105e-6	1
78983	1.9750500000000003e-6	1
79063	1.97705e-6	1
79143	1.97905e-6	1
79223	1.98105e-6	1
79743	1.99405e-6	1
79983	2.00005e-6	1
80503	2.01305e-6	1
80743	2.01905e-6	1
80983	2.02505e-6	1
81063	2.02705e-6	1
81223	2.0310500000000002e-6	1
81463	2.0370500000000003e-6	1
81623	2.04105e-6	1
81703	2.0430500000000003e-6	1
81863	2.04705e-6	1
82023	2.05105e-6	1
82103	2.05305e-6	1
82223	2.05605e-6	1
82463	2.06205e-6	1
82663	2.06705e-6	1
82903	2.07305e-6	1
83023	2.0760500000000002e-6	1
83143	2.07905e-6	1
83263	2.0820500000000003e-6	1
83383	2.08505e-6	1
83463	2.08705e-6	1
83583	2.09005e-6	1
83783	2.09505e-6	1
83983	2.10005e-6	1
84103	2.10305e-6	1
84223	2.10605e-6	1
84303	2.10805e-6	1
84463	2.11205e-6	1
84663	2.11705e-6	1
84823	2.1210500000000002e-6	1
84903	2.12305e-6	1
84983	2.12505e-6	1
85063	2.1270500000000002e-6	1
85583	2.14005e-6	1
85823	2.14605e-6	1
86063	2.15205e-6	1
86143	2.15405e-6	1
86303	2.15805e-6	1
