i	S	V
263	7.05e-9	-1
543	1.405e-8	-1
823	2.105e-8	-1
1023	2.6050000000000002e-08	-1
1103	2.805e-8	-1
1383	3.505e-8	-1
1503	3.805e-8	-1
1663	4.205e-8	-1
1783	4.505e-8	-1
1983	5.005e-8	-1
2063	5.205e-8	-1
2143	5.4050000000000004e-8	-1
2423	6.105000000000001e-8	-1
2503	6.305e-8	-1
2783	7.005000000000001e-8	-1
2943	7.405e-8	-1
3063	7.705e-8	-1
3223	8.105e-8	-1
3343	8.405e-8	-1
3423	8.605e-8	-1
3543	8.9050000000000007e-08	-1
3743	9.405e-8	-1
3863	9.705e-8	-1
4063	1.0205e-7	-1
4143	1.0405000000000001e-7	-1
4263	1.0705000000000001e-7	-1
4423	1.1105e-7	-1
4583	1.1505e-7	-1
4743	1.1905000000000001e-7	-1
4863	1.2205e-7	-1
4943	1.2405e-7	-1
5023	1.2605e-7	-1
5343	1.3405e-7	-1
5623	1.4105e-7	-1
5903	1.4805e-7	-1
6103	1.5305e-7	-1
6183	1.5505e-7	-1
6463	1.6205e-7	-1
6583	1.6505e-7	-1
6743	1.6905e-7	-1
6863	1.7205e-7	-1
7063	1.7705000000000001e-7	-1
7143	1.7905e-7	-1
7223	1.8105e-7	-1
7503	1.8805000000000002e-7	-1
7583	1.9005e-7	-1
7863	1.9705e-7	-1
8023	2.0105000000000002e-7	-1
8143	2.0405e-7	-1
8303	2.0805000000000001e-7	-1
8423	2.1105e-7	-1
8503	2.1305000000000002e-7	-1
8623	2.1605e-7	-1
8823	2.2105e-7	-1
8943	2.2405e-7	-1
9143	2.2905e-7	-1
9223	2.3105000000000002e-7	-1
9343	2.3405e-7	-1
9503	2.3805000000000002e-7	-1
9663	2.4205000000000003e-7	-1
9823	2.4605e-7	-1
9943	2.4905e-7	-1
10023	2.5105e-7	-1
10103	2.5305e-7	-1
10423	2.6105e-7	-1
10703	2.6805e-7	-1
10983	2.7505e-7	-1
11183	2.8005e-7	-1
11263	2.8205e-7	-1
11543	2.8905e-7	-1
11663	2.9205e-7	-1
11823	2.9605e-7	-1
11943	2.9905e-7	-1
12143	3.0405e-7	-1
12223	3.0605e-7	-1
12303	3.0805e-7	-1
12583	3.1505e-7	-1
12663	3.1705e-7	-1
12943	3.2405e-7	-1
13103	3.2805000000000003e-7	-1
13223	3.3105e-7	-1
13383	3.3505e-7	-1
13503	3.3805e-7	-1
13583	3.4005000000000003e-7	-1
13703	3.4305e-7	-1
13903	3.4805e-7	-1
14023	3.5105e-7	-1
14223	3.5605e-7	-1
14303	3.5805e-7	-1
14423	3.6105e-7	-1
14583	3.6505e-7	-1
14743	3.6905000000000004e-7	-1
14903	3.7305e-7	-1
15023	3.7605000000000004e-7	-1
15103	3.7805000000000003e-7	-1
15183	3.8005e-7	-1
15503	3.8805000000000004e-7	-1
15783	3.9505000000000003e-7	-1
16263	4.0705000000000004e-7	-1
16543	4.1405000000000003e-7	-1
16823	4.2105000000000003e-7	-1
17023	4.2605000000000003e-7	-1
17103	4.2805e-7	-1
17383	4.3505e-7	-1
17503	4.3805000000000003e-7	-1
17663	4.4205e-7	-1
17783	4.4505000000000003e-7	-1
17983	4.5005000000000004e-7	-1
18063	4.5205000000000003e-7	-1
18143	4.5405e-7	-1
18423	4.6105e-7	-1
18503	4.6305e-7	-1
18783	4.7005e-7	-1
18943	4.7405000000000004e-7	-1
19063	4.770500000000001e-7	-1
19223	4.8105e-7	-1
19343	4.8405e-7	-1
19423	4.8605e-7	-1
19543	4.8905e-7	-1
19743	4.940500000000001e-7	-1
19863	4.9705e-7	-1
20063	5.0205e-7	-1
20143	5.040500000000001e-7	-1
20263	5.0705e-7	-1
20423	5.110500000000001e-7	-1
20583	5.1505e-7	-1
20743	5.1905e-7	-1
20863	5.2205e-7	-1
20943	5.2405e-7	-1
21023	5.2605e-7	-1
21343	5.3405e-7	-1
21623	5.4105e-7	-1
21903	5.4805e-7	-1
22103	5.5305e-7	-1
22183	5.5505e-7	-1
22463	5.6205e-7	-1
22583	5.6505e-7	-1
22743	5.6905e-7	-1
22863	5.7205e-7	-1
23063	5.7705e-7	-1
23143	5.7905e-7	-1
23223	5.8105e-7	-1
23503	5.8805e-7	-1
23583	5.900500000000001e-7	-1
23863	5.970500000000001e-7	-1
24023	6.0105e-7	-1
24143	6.040500000000001e-7	-1
24303	6.0805e-7	-1
24423	6.110500000000001e-7	-1
24503	6.1305e-7	-1
24623	6.1605e-7	-1
24823	6.210500000000001e-7	-1
24943	6.2405e-7	-1
25143	6.2905e-7	-1
25223	6.3105e-7	-1
25343	6.3405e-7	-1
25503	6.3805e-7	-1
25663	6.420500000000001e-7	-1
25823	6.4605e-7	-1
25943	6.490500000000001e-7	-1
26023	6.5105e-7	-1
26103	6.5305e-7	-1
26423	6.6105e-7	-1
26703	6.6805e-7	-1
26983	6.7505e-7	-1
27183	6.800500000000001e-7	-1
27263	6.8205e-7	-1
27543	6.8905e-7	-1
27663	6.9205e-7	-1
27823	6.9605e-7	-1
27943	6.9905e-7	-1
28143	7.040500000000001e-7	-1
28223	7.0605e-7	-1
28303	7.0805e-7	-1
28583	7.1505e-7	-1
28663	7.1705e-7	-1
28943	7.2405e-7	-1
29103	7.280500000000001e-7	-1
29223	7.310500000000001e-7	-1
29383	7.350500000000001e-7	-1
29503	7.380500000000001e-7	-1
29583	7.4005e-7	-1
29703	7.4305e-7	-1
29903	7.4805e-7	-1
30023	7.5105e-7	-1
30223	7.5605e-7	-1
30303	7.5805e-7	-1
30423	7.6105e-7	-1
30583	7.6505e-7	-1
30743	7.690500000000001e-7	-1
30903	7.730500000000001e-7	-1
31023	7.760500000000001e-7	-1
31103	7.7805e-7	-1
31183	7.800500000000001e-7	-1
31503	7.8805e-7	-1
31783	7.9505e-7	-1
32263	8.070500000000001e-7	-1
32543	8.140500000000001e-7	-1
32823	8.210500000000001e-7	-1
33023	8.2605e-7	-1
33103	8.280500000000001e-7	-1
33383	8.350500000000001e-7	-1
33503	8.380500000000001e-7	-1
33663	8.4205e-7	-1
33783	8.450500000000001e-7	-1
33983	8.5005e-7	-1
34063	8.520500000000001e-7	-1
34143	8.5405e-7	-1
34423	8.6105e-7	-1
34503	8.6305e-7	-1
34783	8.7005e-7	-1
34943	8.7405e-7	-1
35063	8.7705e-7	-1
35223	8.8105e-7	-1
35343	8.8405e-7	-1
35423	8.860500000000001e-7	-1
35543	8.8905e-7	-1
35743	8.9405e-7	-1
35863	8.970500000000001e-7	-1
36063	9.0205e-7	-1
36143	9.0405e-7	-1
36263	9.070500000000001e-7	-1
36423	9.1105e-7	-1
36583	9.1505e-7	-1
36743	9.1905e-7	-1
36863	9.2205e-7	-1
36943	9.240500000000001e-7	-1
37023	9.2605e-7	-1
37343	9.340500000000001e-7	-1
37623	9.410500000000001e-7	-1
37903	9.480500000000001e-7	-1
38103	9.5305e-7	-1
38183	9.5505e-7	-1
38463	9.6205e-7	-1
38583	9.6505e-7	-1
38743	9.6905e-7	-1
38863	9.7205e-7	-1
39063	9.7705e-7	-1
39143	9.7905e-7	-1
39223	9.810500000000001e-7	-1
39503	9.8805e-7	-1
39583	9.9005e-7	-1
39863	9.9705e-7	-1
40023	1.0010500000000001e-6	-1
40143	1.00405e-6	-1
40303	1.00805e-6	-1
40423	1.01105e-6	-1
40503	1.01305e-6	-1
40623	1.01605e-6	-1
40823	1.02105e-6	-1
40943	1.02405e-6	-1
41143	1.0290500000000001e-6	-1
41223	1.03105e-6	-1
41343	1.03405e-6	-1
41503	1.03805e-6	-1
41663	1.04205e-6	-1
41823	1.0460500000000001e-6	-1
41943	1.04905e-6	-1
42023	1.05105e-6	-1
42103	1.05305e-6	-1
42423	1.06105e-6	-1
42703	1.06805e-6	-1
42983	1.07505e-6	-1
43183	1.08005e-6	-1
43263	1.08205e-6	-1
43543	1.08905e-6	-1
43663	1.09205e-6	-1
43823	1.09605e-6	-1
43943	1.09905e-6	-1
44143	1.10405e-6	-1
44223	1.10605e-6	-1
44303	1.1080500000000001e-6	-1
44583	1.11505e-6	-1
44663	1.11705e-6	-1
44943	1.12405e-6	-1
45103	1.12805e-6	-1
45223	1.13105e-6	-1
45383	1.13505e-6	-1
45503	1.13805e-6	-1
45583	1.14005e-6	-1
45703	1.14305e-6	-1
45903	1.14805e-6	-1
46023	1.15105e-6	-1
46223	1.1560500000000001e-6	-1
46303	1.15805e-6	-1
46423	1.16105e-6	-1
46583	1.16505e-6	-1
