i	S	V
243	7.05940094692381e-9	0
523	1.4059249120611722e-8	0
803	2.1058927473146e-8	0
1003	2.605865862019484e-8	0
1083	2.8059318262365026e-8	0
1363	3.505956114416858e-8	0
1483	3.8059421648890595e-8	0
1643	4.2059081910326295e-8	0
1763	4.505937236811497e-8	0
1963	5.005960560097477e-8	0
2043	5.205939995072178e-8	0
2123	5.406002001087944e-8	0
2403	6.106051356609108e-8	0
2483	6.305944402681263e-8	0
2763	7.00593835430211e-8	0
2923	7.40594727546216e-8	0
3043	7.705907062298194e-8	0
3203	8.10590140639323e-8	0
3323	8.405918266297655e-8	0
3403	8.605869097160574e-8	0
3523	8.905922486400211e-8	0
3723	9.405933042705346e-8	0
3843	9.705927892532388e-8	0
4043	1.0205936574004835e-7	0
4123	1.0405921450941393e-7	0
4243	1.070587924814849e-7	0
4403	1.1105890557733123e-7	0
4563	1.1505986925253632e-7	0
4723	1.1905938619959886e-7	0
4843	1.2205909823564335e-7	0
4923	1.2405917613978266e-7	0
5003	1.2605937901019653e-7	0
5323	1.3405935756100707e-7	0
5603	1.4105950385672546e-7	0
5883	1.4805943028413375e-7	0
6083	1.5305958550372875e-7	0
6163	1.55059016492868e-7	0
6443	1.6205965859004266e-7	0
6563	1.6505964879864152e-7	0
6723	1.690593042464168e-7	0
6843	1.7205954030020652e-7	0
7043	1.770594580864085e-7	0
7123	1.790599795175785e-7	0
7203	1.8105903380350095e-7	0
7483	1.880594160527079e-7	0
7563	1.9005959607035425e-7	0
7843	1.970595925358746e-7	0
8003	2.0105898976086004e-7	0
8123	2.0405893523736493e-7	0
8283	2.0805916862495613e-7	0
8403	2.1105964820711015e-7	0
8483	2.130597419141571e-7	0
8603	2.1605907376758916e-7	0
8803	2.2105914816372475e-7	0
8923	2.2405916449869077e-7	0
9123	2.290590215860593e-7	0
9203	2.3105934617871632e-7	0
9323	2.3405951288739237e-7	0
9483	2.3805888719444532e-7	0
9643	2.420592347872945e-7	0
9803	2.4605910553818954e-7	0
9923	2.490582962330367e-7	0
10003	2.510593991343613e-7	0
10083	2.530589515306458e-7	0
10403	2.610590418265492e-7	0
10683	2.6805961469958045e-7	0
10963	2.750593009737734e-7	0
