i	S	V
503	1.3059440541921941e-8	0
743	1.9059216549383553e-8	0
983	2.5059634651438885e-8	0
1063	2.7059393941516376e-8	0
1223	3.105921594659516e-8	0
1463	3.7058727307709444e-8	0
1623	4.105886375472649e-8	0
1703	4.305864272013798e-8	0
1863	4.705916548521354e-8	0
2023	5.105971516816763e-8	0
2103	5.3059363570844824e-8	0
2223	5.6058945318365345e-8	0
2463	6.205975188654719e-8	0
2663	6.705910724910921e-8	0
2903	7.305868357946077e-8	0
3023	7.605965704485142e-8	0
3143	7.905954590263683e-8	0
3263	8.205911765890645e-8	0
3383	8.505985832516847e-8	0
3463	8.705963138764735e-8	0
3583	9.00596691042694e-8	0
3783	9.505867601667969e-8	0
3983	1.0005970643470925e-7	0
4103	1.0305949361286608e-7	0
4223	1.0605876487452784e-7	0
4303	1.0805954607324977e-7	0
4463	1.1205914754052034e-7	0
4663	1.170591315781031e-7	0
4823	1.2105899215902032e-7	0
4903	1.2305882360191134e-7	0
4983	1.2505932310496132e-7	0
5063	1.2705897977894262e-7	0
5583	1.4005977861793474e-7	0
5823	1.460587746881898e-7	0
6063	1.5205885356564373e-7	0
6143	1.5405877172356623e-7	0
6303	1.5805941387637347e-7	0
6543	1.6405859790999555e-7	0
6703	1.6805919811688934e-7	0
6783	1.7005985205758571e-7	0
6943	1.740598083929239e-7	0
7103	1.7805918575590772e-7	0
7183	1.8005969106992887e-7	0
7303	1.8305952789434173e-7	0
7543	1.8905924665173268e-7	0
7743	1.9405901623790184e-7	0
7983	2.0005945458422145e-7	0
8103	2.030592066011378e-7	0
8223	2.0605995744680782e-7	0
8343	2.0905928025353433e-7	0
8463	2.1205955530911169e-7	0
8543	2.1405904393494742e-7	0
8663	2.1705951920917867e-7	0
8863	2.220588206243254e-7	0
9063	2.270585007668197e-7	0
9183	2.3005959970644553e-7	0
9303	2.33058861596105e-7	0
9383	2.3505946609163391e-7	0
9543	2.3905852459462784e-7	0
9743	2.440587085539976e-7	0
9903	2.4805950886678287e-7	0
9983	2.5005943222501807e-7	0
10063	2.5205999523308634e-7	0
10143	2.5405888355689866e-7	0
10663	2.670594145384785e-7	0
10903	2.7305944320602094e-7	0
11143	2.790599950908452e-7	0
11223	2.810599954950595e-7	0
11383	2.850592479960717e-7	0
11623	2.9105895343149084e-7	0
11783	2.9505867732367216e-7	0
11863	2.970593553088805e-7	0
12023	3.0105972092958913e-7	0
12183	3.0505940876228257e-7	0
12263	3.070589479953094e-7	0
12383	3.100594027490056e-7	0
12623	3.1605959368551344e-7	0
12823	3.210594593672674e-7	0
13063	3.270593885059772e-7	0
13183	3.3005937835275767e-7	0
13303	3.330590518839496e-7	0
13423	3.3605983555395027e-7	0
13543	3.3905834887095015e-7	0
13623	3.410589044820133e-7	0
13743	3.440593929147769e-7	0
13943	3.490593760812351e-7	0
14143	3.540595289515111e-7	0
14263	3.570592210344076e-7	0
14383	3.6005957701295485e-7	0
14463	3.620597251845575e-7	0
14623	3.660596493688259e-7	0
14823	3.7105919482232556e-7	0
14983	3.7506005003219614e-7	0
15063	3.7705942917569434e-7	0
15143	3.790590955998336e-7	0
15223	3.8105962945105937e-7	0
15743	3.9405921526061444e-7	0
15983	4.000592468106065e-7	0
16503	4.13059721572709e-7	0
16743	4.190601444462205e-7	0
16983	4.250592033859962e-7	0
17063	4.270593149004418e-7	0
17223	4.310592963937039e-7	0
17463	4.370601449608545e-7	0
17623	4.410592811964276e-7	0
17703	4.4305917042683203e-7	0
17863	4.4705974511102824e-7	0
18023	4.510600005634722e-7	0
18103	4.5305957145985783e-7	0
18223	4.5605953744013106e-7	0
18463	4.6205902336661275e-7	0
18663	4.6705940502981573e-7	0
18903	4.7305976081989857e-7	0
19023	4.760592781347785e-7	0
19143	4.790591246670877e-7	0
19263	4.820592898018734e-7	0
19383	4.850592245747154e-7	0
19463	4.870588561461827e-7	0
19583	4.900588483805096e-7	0
19783	4.950593262577696e-7	0
19983	5.000593337320301e-7	0
20103	5.030592620610229e-7	0
20223	5.060592218964066e-7	0
20303	5.080594126053256e-7	0
20463	5.120589214531193e-7	0
20663	5.170595295485409e-7	0
20823	5.210598163648747e-7	0
20903	5.230596525469267e-7	0
20983	5.250593687116549e-7	0
21063	5.270595998043765e-7	0
21583	5.400590925160768e-7	0
21823	5.460589011506353e-7	0
22063	5.520585846880055e-7	0
22143	5.540590226922726e-7	0
22303	5.58058897889063e-7	0
22543	5.640594631850694e-7	0
22703	5.680591835062247e-7	0
22783	5.700595019806842e-7	0
